gene_id,gene_symbol,description,gene_type,transcript_accession,protein_accession
107286127,SMPX,small muscle protein X-linked,PROTEIN_CODING,XM_015814424.1,XP_015669910.1
107286127,SMPX,small muscle protein X-linked,PROTEIN_CODING,XM_015814423.1,XP_015669909.1
107286133,MGP,matrix Gla protein,PROTEIN_CODING,XM_015814432.1,XP_015669918.1
107286149,AADAT,aminoadipate aminotransferase,PROTEIN_CODING,XM_015814452.1,XP_015669938.1
107286152,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,PROTEIN_CODING,XM_015814451.1,XP_015669937.1
107286152,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,PROTEIN_CODING,XM_015814454.1,XP_015669940.1
107286152,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,PROTEIN_CODING,XM_015814455.1,XP_015669941.1
107286152,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,PROTEIN_CODING,XM_015814453.1,XP_015669939.1
107286152,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,PROTEIN_CODING,XM_015814456.2,XP_015669942.1
107286152,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,PROTEIN_CODING,XM_015814457.1,XP_015669943.1
107286161,NMRK1,nicotinamide riboside kinase 1,PROTEIN_CODING,XR_001548846.2,
107286161,NMRK1,nicotinamide riboside kinase 1,PROTEIN_CODING,XR_001548845.1,
107286161,NMRK1,nicotinamide riboside kinase 1,PROTEIN_CODING,XR_001548847.1,
107286161,NMRK1,nicotinamide riboside kinase 1,PROTEIN_CODING,XM_015814467.1,XP_015669953.1
107286176,TRAPPC2,trafficking protein particle complex subunit 2,PROTEIN_CODING,XM_015814488.2,XP_015669974.1
107286176,TRAPPC2,trafficking protein particle complex subunit 2,PROTEIN_CODING,XM_015814490.2,XP_015669976.1
107286176,TRAPPC2,trafficking protein particle complex subunit 2,PROTEIN_CODING,XM_015814491.2,XP_015669977.1
107286176,TRAPPC2,trafficking protein particle complex subunit 2,PROTEIN_CODING,XM_015814492.2,XP_015669978.1
107286176,TRAPPC2,trafficking protein particle complex subunit 2,PROTEIN_CODING,XM_015814489.2,XP_015669975.1
107286191,CLCN3,chloride voltage-gated channel 3,PROTEIN_CODING,XM_015814534.1,XP_015670020.1
107286191,CLCN3,chloride voltage-gated channel 3,PROTEIN_CODING,XM_015814518.1,XP_015670004.1
107286203,PKIA,cAMP-dependent protein kinase inhibitor alpha,PROTEIN_CODING,XM_015814525.1,XP_015670011.1
107286211,LOC107286211,protein-L-isoaspartate(D-aspartate) O-methyltransferase,PROTEIN_CODING,XM_015814537.1,XP_015670023.1
107286211,LOC107286211,protein-L-isoaspartate(D-aspartate) O-methyltransferase,PROTEIN_CODING,XM_015814539.2,XP_015670025.1
107286211,LOC107286211,protein-L-isoaspartate(D-aspartate) O-methyltransferase,PROTEIN_CODING,XM_015814538.1,XP_015670024.1
107286211,LOC107286211,protein-L-isoaspartate(D-aspartate) O-methyltransferase,PROTEIN_CODING,XM_015814540.1,XP_015670026.1
107286212,CCDC32,coiled-coil domain containing 32,PROTEIN_CODING,XM_015814541.1,XP_015670027.1
107286212,CCDC32,coiled-coil domain containing 32,PROTEIN_CODING,XM_015814542.1,XP_015670028.1
107286212,CCDC32,coiled-coil domain containing 32,PROTEIN_CODING,XM_015814543.1,XP_015670029.1
107286214,IVD,isovaleryl-CoA dehydrogenase,PROTEIN_CODING,XM_015814545.1,XP_015670031.1
107286214,IVD,isovaleryl-CoA dehydrogenase,PROTEIN_CODING,XM_015814544.1,XP_015670030.1
107286230,YKT6,YKT6 v-SNARE homolog,PROTEIN_CODING,XM_015814559.1,XP_015670045.1
107286230,YKT6,YKT6 v-SNARE homolog,PROTEIN_CODING,XM_015814560.1,XP_015670046.1
107286246,PGAM2,phosphoglycerate mutase 2,PROTEIN_CODING,XM_015814575.1,XP_015670061.1
107286250,ZDHHC6,zinc finger DHHC-type palmitoyltransferase 6,PROTEIN_CODING,XM_015814582.1,XP_015670068.1
107286250,ZDHHC6,zinc finger DHHC-type palmitoyltransferase 6,PROTEIN_CODING,XM_015814583.1,XP_015670069.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814586.1,XP_015670072.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814590.1,XP_015670076.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814589.1,XP_015670075.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_029283892.1,XP_029139725.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814592.1,XP_015670078.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814591.1,XP_015670077.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814595.1,XP_015670081.1
107286251,TCF7L2,transcription factor 7 like 2,PROTEIN_CODING,XM_015814594.1,XP_015670080.1
107286253,PACRG,parkin coregulated,PROTEIN_CODING,XM_015814601.1,XP_015670087.1
107286256,VTI1A,vesicle transport through interaction with t-SNAREs 1A,PROTEIN_CODING,XM_015814599.1,XP_015670085.1
107286281,PLCD3,phospholipase C delta 3,PROTEIN_CODING,XM_015814629.1,XP_015670115.1
107286281,PLCD3,phospholipase C delta 3,PROTEIN_CODING,XM_015814628.1,XP_015670114.1
107286282,ACBD4,acyl-CoA binding domain containing 4,PROTEIN_CODING,XM_015814632.1,XP_015670118.1
107286282,ACBD4,acyl-CoA binding domain containing 4,PROTEIN_CODING,XM_015814630.1,XP_015670116.1
107286282,ACBD4,acyl-CoA binding domain containing 4,PROTEIN_CODING,XM_015814631.1,XP_015670117.1
107286282,ACBD4,acyl-CoA binding domain containing 4,PROTEIN_CODING,XM_015814633.1,XP_015670119.1
107286316,ZCCHC9,zinc finger CCHC-type containing 9,PROTEIN_CODING,XM_015814663.1,XP_015670149.1
107286316,ZCCHC9,zinc finger CCHC-type containing 9,PROTEIN_CODING,XM_015814665.1,XP_015670151.1
107286335,GMPR,guanosine monophosphate reductase,PROTEIN_CODING,XM_015814685.1,XP_015670171.1
107286335,GMPR,guanosine monophosphate reductase,PROTEIN_CODING,XM_015814686.1,XP_015670172.1
107286337,DTNBP1,dystrobrevin binding protein 1,PROTEIN_CODING,XM_015814689.1,XP_015670175.1
107286337,DTNBP1,dystrobrevin binding protein 1,PROTEIN_CODING,XM_015814690.1,XP_015670176.1
107286345,DEK,DEK proto-oncogene,PROTEIN_CODING,XM_015814699.1,XP_015670185.1
107286345,DEK,DEK proto-oncogene,PROTEIN_CODING,XM_015814697.1,XP_015670183.1
107286345,DEK,DEK proto-oncogene,PROTEIN_CODING,XM_029283909.1,XP_029139742.1
107286345,DEK,DEK proto-oncogene,PROTEIN_CODING,XM_029283908.1,XP_029139741.1
107286353,CFAP300,cilia and flagella associated protein 300,PROTEIN_CODING,XM_015814708.1,XP_015670194.1
107286366,LOC107286366,stromelysin-1,PROTEIN_CODING,XM_029283916.1,XP_029139749.1
107286368,ANGPTL5,angiopoietin like 5,PROTEIN_CODING,XM_015814725.1,XP_015670211.1
107286369,MARCHF7,membrane associated ring-CH-type finger 7,PROTEIN_CODING,XM_015814727.1,XP_015670213.1
107286369,MARCHF7,membrane associated ring-CH-type finger 7,PROTEIN_CODING,XM_015814729.1,XP_015670215.1
107286369,MARCHF7,membrane associated ring-CH-type finger 7,PROTEIN_CODING,XM_015814728.1,XP_015670214.1
107286369,MARCHF7,membrane associated ring-CH-type finger 7,PROTEIN_CODING,XM_015814726.1,XP_015670212.1
107286371,WDSUB1,"WD repeat, sterile alpha motif and U-box domain containing 1",PROTEIN_CODING,XM_015814731.1,XP_015670217.1
107286383,RRP1B,ribosomal RNA processing 1B,PROTEIN_CODING,XM_015814745.1,XP_015670231.1
107286383,RRP1B,ribosomal RNA processing 1B,PROTEIN_CODING,XM_015814752.1,XP_015670238.1
107286402,PCGF2,polycomb group ring finger 2,PROTEIN_CODING,XM_015814760.1,XP_015670246.1
107286411,BICRAL,BRD4 interacting chromatin remodeling complex associated protein like,PROTEIN_CODING,XM_015814771.2,XP_015670257.1
107286417,UTP25,UTP25 small subunit processor component,PROTEIN_CODING,XM_015814781.1,XP_015670267.1
107286417,UTP25,UTP25 small subunit processor component,PROTEIN_CODING,XM_015814782.1,XP_015670268.1
107286426,MED31,mediator complex subunit 31,PROTEIN_CODING,XM_015814793.1,XP_015670279.1
107286426,MED31,mediator complex subunit 31,PROTEIN_CODING,XM_015814792.1,XP_015670278.1
107286428,SOX6,SRY-box transcription factor 6,PROTEIN_CODING,XM_029283932.1,XP_029139765.1
107286447,TRIM54,tripartite motif containing 54,PROTEIN_CODING,XM_015814817.1,XP_015670303.1
107286447,TRIM54,tripartite motif containing 54,PROTEIN_CODING,XM_015814818.1,XP_015670304.1
107286454,MAPRE3,microtubule associated protein RP/EB family member 3,PROTEIN_CODING,XM_015814829.1,XP_015670315.1
107286454,MAPRE3,microtubule associated protein RP/EB family member 3,PROTEIN_CODING,XM_015814828.1,XP_015670314.1
107286465,NSUN5,NOP2/Sun RNA methyltransferase 5,PROTEIN_CODING,XM_015814839.1,XP_015670325.1
107286476,LOC107286476,golgin subfamily A member 6-like protein 7,PROTEIN_CODING,XM_015814850.1,XP_015670336.1
107286477,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent 1G",PROTEIN_CODING,XM_015814851.1,XP_015670337.1
107286491,GATD3A,glutamine amidotransferase class 1 domain containing 3A,PROTEIN_CODING,XM_015814865.1,XP_015670351.1
107286504,SGCG,sarcoglycan gamma,PROTEIN_CODING,XM_015814878.1,XP_015670364.1
107286504,SGCG,sarcoglycan gamma,PROTEIN_CODING,XM_015814877.1,XP_015670363.1
107286510,FBXO8,F-box protein 8,PROTEIN_CODING,XM_015814887.1,XP_015670373.1
107286510,FBXO8,F-box protein 8,PROTEIN_CODING,XM_015814888.1,XP_015670374.1
107286512,CLDND1,claudin domain containing 1,PROTEIN_CODING,XM_015814902.1,XP_015670388.1
107286512,CLDND1,claudin domain containing 1,PROTEIN_CODING,XM_015814894.1,XP_015670380.1
107286516,RPS12,ribosomal protein S12,PROTEIN_CODING,XM_015814896.2,XP_015670382.1
107286516,RPS12,ribosomal protein S12,PROTEIN_CODING,XM_015814897.1,XP_015670383.1
107286527,MID1IP1,MID1 interacting protein 1,PROTEIN_CODING,XM_015814914.2,XP_015670400.1
107286527,MID1IP1,MID1 interacting protein 1,PROTEIN_CODING,XM_015814912.2,XP_015670398.1
107286527,MID1IP1,MID1 interacting protein 1,PROTEIN_CODING,XM_015814913.1,XP_015670399.1
107286528,TSPAN7,tetraspanin 7,PROTEIN_CODING,XM_015814916.2,XP_015670402.1
107286539,LOC107286539,core histone macro-H2A.1,PROTEIN_CODING,XM_015814927.1,XP_015670413.1
107286539,LOC107286539,core histone macro-H2A.1,PROTEIN_CODING,XM_015814926.1,XP_015670412.1
107286543,TMEM212,transmembrane protein 212,PROTEIN_CODING,XM_015814931.1,XP_015670417.1
107286545,LOC107286545,uncharacterized LOC107286545,ncRNA,XR_001548859.1,
107286552,LOC107286552,non-structural maintenance of chromosomes element 3 homolog,PROTEIN_CODING,XM_015814939.1,XP_015670425.1
107286552,LOC107286552,non-structural maintenance of chromosomes element 3 homolog,PROTEIN_CODING,XM_015814940.1,XP_015670426.1
107286552,LOC107286552,non-structural maintenance of chromosomes element 3 homolog,PROTEIN_CODING,XM_015814941.1,XP_015670427.1
107286576,LNPK,"lunapark, ER junction formation factor",PROTEIN_CODING,XM_015814969.1,XP_015670455.1
107286582,LOC107286582,uncharacterized LOC107286582,ncRNA,XR_001548860.1,
107286582,LOC107286582,uncharacterized LOC107286582,ncRNA,XR_001548861.1,
107286633,LOC107286633,leukotriene B4 receptor 2-like,PROTEIN_CODING,XM_015815026.1,XP_015670512.1
107286635,FYB2,FYN binding protein 2,PROTEIN_CODING,XM_015815030.1,XP_015670516.1
107286635,FYB2,FYN binding protein 2,PROTEIN_CODING,XM_015815028.1,XP_015670514.1
107286635,FYB2,FYN binding protein 2,PROTEIN_CODING,XM_029283977.1,XP_029139810.1
107286635,FYB2,FYN binding protein 2,PROTEIN_CODING,XM_015815029.1,XP_015670515.1
107286640,PLPP3,phospholipid phosphatase 3,PROTEIN_CODING,XM_015815035.1,XP_015670521.1
107286681,ECI2,enoyl-CoA delta isomerase 2,PROTEIN_CODING,XM_015815194.1,XP_015670680.1
107286681,ECI2,enoyl-CoA delta isomerase 2,PROTEIN_CODING,XM_015815117.1,XP_015670603.1
107286685,LARP7,"La ribonucleoprotein 7, transcriptional regulator",PROTEIN_CODING,XM_015815083.1,XP_015670569.1
107286685,LARP7,"La ribonucleoprotein 7, transcriptional regulator",PROTEIN_CODING,XM_015815082.1,XP_015670568.1
107286685,LARP7,"La ribonucleoprotein 7, transcriptional regulator",PROTEIN_CODING,XM_015815084.1,XP_015670570.1
107286696,FAM50A,family with sequence similarity 50 member A,PROTEIN_CODING,XM_015815098.1,XP_015670584.1
107286696,FAM50A,family with sequence similarity 50 member A,PROTEIN_CODING,XM_015815101.1,XP_015670587.1
107286696,FAM50A,family with sequence similarity 50 member A,PROTEIN_CODING,XM_015815100.1,XP_015670586.1
107286696,FAM50A,family with sequence similarity 50 member A,PROTEIN_CODING,XM_015815099.2,XP_015670585.1
107286709,BGN,biglycan,PROTEIN_CODING,XM_015815114.1,XP_015670600.1
107286710,HAUS7,HAUS augmin like complex subunit 7,PROTEIN_CODING,XM_015815115.1,XP_015670601.1
107286716,LAGE3,L antigen family member 3,PROTEIN_CODING,XM_015815123.1,XP_015670609.1
107286719,PVALEF,parvalbumin like EF-hand containing,PROTEIN_CODING,XM_015815130.1,XP_015670616.1
107286723,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,PROTEIN_CODING,XM_015815137.1,XP_015670623.1
107286727,LOC107286727,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",PROTEIN_CODING,XM_015815140.1,XP_015670626.1
107286731,LOC107286731,histone-lysine N-methyltransferase SMYD3,PROTEIN_CODING,XM_015815146.1,XP_015670632.1
107286731,LOC107286731,histone-lysine N-methyltransferase SMYD3,PROTEIN_CODING,XM_015815145.1,XP_015670631.1
107286732,LOC107286732,kinesin-like protein KIF26B,PROTEIN_CODING,XM_015815147.1,XP_015670633.1
107286742,TMPRSS11E,transmembrane serine protease 11E,PROTEIN_CODING,XM_015815157.1,XP_015670643.1
107286742,TMPRSS11E,transmembrane serine protease 11E,PROTEIN_CODING,XM_015815160.1,XP_015670646.1
107286742,TMPRSS11E,transmembrane serine protease 11E,PROTEIN_CODING,XM_015815158.1,XP_015670644.1
107286742,TMPRSS11E,transmembrane serine protease 11E,PROTEIN_CODING,XM_015815159.2,XP_015670645.1
107286750,WASF2,WASP family member 2,PROTEIN_CODING,XM_015815167.1,XP_015670653.1
107286750,WASF2,WASP family member 2,PROTEIN_CODING,XM_015815169.1,XP_015670655.1
107286750,WASF2,WASP family member 2,PROTEIN_CODING,XM_015815168.1,XP_015670654.1
107286756,FST,follistatin,PROTEIN_CODING,XM_015815175.1,XP_015670661.1
107286756,FST,follistatin,PROTEIN_CODING,XM_015815177.1,XP_015670663.1
107286756,FST,follistatin,PROTEIN_CODING,XM_015815178.1,XP_015670664.1
107286759,LOC107286759,molybdopterin synthase catalytic subunit,PROTEIN_CODING,XM_015815181.1,XP_015670667.1
107286762,LOC107286762,gap junction gamma-1 protein,PROTEIN_CODING,XM_015815184.1,XP_015670670.1
107286762,LOC107286762,gap junction gamma-1 protein,PROTEIN_CODING,XM_015815185.1,XP_015670671.1
107286779,LOC107286779,testis-expressed protein 47,PROTEIN_CODING,XM_015815203.1,XP_015670689.1
107286800,USPL1,ubiquitin specific peptidase like 1,PROTEIN_CODING,XM_015815225.1,XP_015670711.1
107286802,DNAI2,dynein axonemal intermediate chain 2,PROTEIN_CODING,XM_015815238.1,XP_015670724.1
107286802,DNAI2,dynein axonemal intermediate chain 2,PROTEIN_CODING,XM_015815230.1,XP_015670716.1
107286812,CUNH2orf49,chromosome unknown C2orf49 homolog,PROTEIN_CODING,XM_015815241.2,XP_015670727.2
107286812,CUNH2orf49,chromosome unknown C2orf49 homolog,PROTEIN_CODING,XM_015815242.1,XP_015670728.1
107286812,CUNH2orf49,chromosome unknown C2orf49 homolog,PROTEIN_CODING,XM_029284010.1,XP_029139843.1
107286814,MRPS9,mitochondrial ribosomal protein S9,PROTEIN_CODING,XM_015815244.1,XP_015670730.1
107286814,MRPS9,mitochondrial ribosomal protein S9,PROTEIN_CODING,XM_015815245.1,XP_015670731.1
107286831,RNF14,ring finger protein 14,PROTEIN_CODING,XM_015815264.1,XP_015670750.1
107286838,LOC107286838,pituitary tumor-transforming gene 1 protein-interacting protein,PROTEIN_CODING,XM_015815271.2,XP_015670757.1
107286845,LOC107286845,GTP-binding protein 10,PROTEIN_CODING,XM_015815277.1,XP_015670763.1
107286865,VTA1,vesicle trafficking 1,PROTEIN_CODING,XM_015815302.2,XP_015670788.1
107286874,SLU7,"SLU7 homolog, splicing factor",PROTEIN_CODING,XM_015815312.1,XP_015670798.1
107286874,SLU7,"SLU7 homolog, splicing factor",PROTEIN_CODING,XM_015815314.1,XP_015670800.1
107286874,SLU7,"SLU7 homolog, splicing factor",PROTEIN_CODING,XM_015815313.1,XP_015670799.1
107286878,RNASEH2A,ribonuclease H2 subunit A,PROTEIN_CODING,XM_015815318.1,XP_015670804.1
107286878,RNASEH2A,ribonuclease H2 subunit A,PROTEIN_CODING,XM_015815317.1,XP_015670803.1
107286879,PRDX2,peroxiredoxin 2,PROTEIN_CODING,XM_015815321.1,XP_015670807.1
107286879,PRDX2,peroxiredoxin 2,PROTEIN_CODING,XM_015815319.1,XP_015670805.1
107286888,WDR83,WD repeat domain 83,PROTEIN_CODING,XM_015815329.2,XP_015670815.1
107286890,LOC107286890,syntaxin-10,PROTEIN_CODING,XM_015815332.1,XP_015670818.1
107286890,LOC107286890,syntaxin-10,PROTEIN_CODING,XM_015815333.1,XP_015670819.1
107286891,TRMT1,tRNA methyltransferase 1,PROTEIN_CODING,XM_015815334.1,XP_015670820.1
107286898,C1QTNF2,C1q and TNF related 2,PROTEIN_CODING,XM_015815340.1,XP_015670826.1
107286914,IGFBP7,insulin like growth factor binding protein 7,PROTEIN_CODING,XM_015815357.1,XP_015670843.1
107286915,LOC107286915,C-type lectin domain family 5 member A,PROTEIN_CODING,XM_015815358.1,XP_015670844.1
107286915,LOC107286915,C-type lectin domain family 5 member A,PROTEIN_CODING,XM_015815359.1,XP_015670845.1
107286935,LGR4,leucine rich repeat containing G protein-coupled receptor 4,PROTEIN_CODING,XM_015815381.1,XP_015670867.1
107286937,LIN7C,"lin-7 homolog C, crumbs cell polarity complex component",PROTEIN_CODING,XM_015815382.1,XP_015670868.1
107286937,LIN7C,"lin-7 homolog C, crumbs cell polarity complex component",PROTEIN_CODING,XM_015815383.1,XP_015670869.1
107286960,VPS29,VPS29 retromer complex component,PROTEIN_CODING,XM_015815408.1,XP_015670894.1
107286960,VPS29,VPS29 retromer complex component,PROTEIN_CODING,XM_015815409.1,XP_015670895.1
107286997,MYL2,myosin light chain 2,PROTEIN_CODING,XM_015815447.1,XP_015670933.1
107287006,MORN3,MORN repeat containing 3,PROTEIN_CODING,XM_015815456.1,XP_015670942.1
107287040,SPCS2,signal peptidase complex subunit 2,PROTEIN_CODING,XM_015815490.1,XP_015670976.1
107287040,SPCS2,signal peptidase complex subunit 2,PROTEIN_CODING,XM_015815491.1,XP_015670977.1
107287042,CCT6A,chaperonin containing TCP1 subunit 6A,PROTEIN_CODING,XM_015815497.1,XP_015670983.1
107287042,CCT6A,chaperonin containing TCP1 subunit 6A,PROTEIN_CODING,XM_015815505.2,XP_015670991.1
107287060,APOBEC2,apolipoprotein B mRNA editing enzyme catalytic subunit 2,PROTEIN_CODING,XM_015815518.1,XP_015671004.1
107287062,IP6K3,inositol hexakisphosphate kinase 3,PROTEIN_CODING,XM_015815520.1,XP_015671006.1
107287073,ATG4C,autophagy related 4C cysteine peptidase,PROTEIN_CODING,XM_015815531.1,XP_015671017.1
107287073,ATG4C,autophagy related 4C cysteine peptidase,PROTEIN_CODING,XM_015815532.1,XP_015671018.1
107287091,PFDN4,prefoldin subunit 4,PROTEIN_CODING,XM_015815552.1,XP_015671038.1
107287091,PFDN4,prefoldin subunit 4,PROTEIN_CODING,XM_015815551.1,XP_015671037.1
107287097,NFS1,NFS1 cysteine desulfurase,PROTEIN_CODING,XM_015815559.1,XP_015671045.1
107287101,ERGIC3,ERGIC and golgi 3,PROTEIN_CODING,XM_015815567.1,XP_015671053.1
107287101,ERGIC3,ERGIC and golgi 3,PROTEIN_CODING,XM_015815568.1,XP_015671054.1
107287101,ERGIC3,ERGIC and golgi 3,PROTEIN_CODING,XM_015815569.1,XP_015671055.1
107287102,LOC107287102,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2",PROTEIN_CODING,XM_015815570.1,XP_015671056.1
107287105,LOC107287105,ubiquinol-cytochrome-c reductase complex assembly factor 1,PROTEIN_CODING,XM_015815573.1,XP_015671059.1
107287105,LOC107287105,ubiquinol-cytochrome-c reductase complex assembly factor 1,PROTEIN_CODING,XM_015815572.1,XP_015671058.1
107287111,RABIF,RAB interacting factor,PROTEIN_CODING,XM_015815580.1,XP_015671066.1
107287121,MCOLN1,mucolipin TRP cation channel 1,PROTEIN_CODING,XM_015815590.1,XP_015671076.1
107287124,LOC107287124,uncharacterized LOC107287124,ncRNA,XR_001548866.1,
107287129,LOC107287129,uncharacterized LOC107287129,ncRNA,XR_001548867.1,
107287130,KY,kyphoscoliosis peptidase,PROTEIN_CODING,XM_015815597.2,XP_015671083.1
107287133,ANAPC13,anaphase promoting complex subunit 13,PROTEIN_CODING,XM_015815601.1,XP_015671087.1
107287133,ANAPC13,anaphase promoting complex subunit 13,PROTEIN_CODING,XM_015815599.1,XP_015671085.1
107287133,ANAPC13,anaphase promoting complex subunit 13,PROTEIN_CODING,XM_015815600.1,XP_015671086.1
107287137,IRX2,iroquois homeobox 2,PROTEIN_CODING,XM_015815605.1,XP_015671091.1
107287143,ASL,argininosuccinate lyase,PROTEIN_CODING,XM_015815613.1,XP_015671099.1
107287155,MAPRE2,microtubule associated protein RP/EB family member 2,PROTEIN_CODING,XM_015815622.1,XP_015671108.1
107287155,MAPRE2,microtubule associated protein RP/EB family member 2,PROTEIN_CODING,XM_015815620.1,XP_015671106.1
107287155,MAPRE2,microtubule associated protein RP/EB family member 2,PROTEIN_CODING,XM_015815625.1,XP_015671111.1
107287155,MAPRE2,microtubule associated protein RP/EB family member 2,PROTEIN_CODING,XM_015815623.1,XP_015671109.1
107287155,MAPRE2,microtubule associated protein RP/EB family member 2,PROTEIN_CODING,XM_015815621.1,XP_015671107.1
107287163,TRAF3IP2,TRAF3 interacting protein 2,PROTEIN_CODING,XM_015815633.2,XP_015671119.1
107287166,RPF2,ribosome production factor 2 homolog,PROTEIN_CODING,XM_015815637.1,XP_015671123.1
107287166,RPF2,ribosome production factor 2 homolog,PROTEIN_CODING,XM_015815638.1,XP_015671124.1
107287170,GTF3C6,general transcription factor IIIC subunit 6,PROTEIN_CODING,XM_015815644.1,XP_015671130.1
107287170,GTF3C6,general transcription factor IIIC subunit 6,PROTEIN_CODING,XM_015815643.1,XP_015671129.1
107287190,AMN1,antagonist of mitotic exit network 1 homolog,PROTEIN_CODING,XM_015815666.1,XP_015671152.1
107287190,AMN1,antagonist of mitotic exit network 1 homolog,PROTEIN_CODING,XM_015815667.1,XP_015671153.1
107287191,NXT2,nuclear transport factor 2 like export factor 2,PROTEIN_CODING,XM_015815671.2,XP_015671157.1
107287195,DNM1L,dynamin 1 like,PROTEIN_CODING,XM_015815672.2,XP_015671158.1
107287195,DNM1L,dynamin 1 like,PROTEIN_CODING,XM_015815673.2,XP_015671159.1
107287204,ADGRL2,adhesion G protein-coupled receptor L2,PROTEIN_CODING,XM_029284080.1,XP_029139913.1
107287204,ADGRL2,adhesion G protein-coupled receptor L2,PROTEIN_CODING,XM_015815684.1,XP_015671170.1
107287204,ADGRL2,adhesion G protein-coupled receptor L2,PROTEIN_CODING,XM_029284078.1,XP_029139911.1
107287204,ADGRL2,adhesion G protein-coupled receptor L2,PROTEIN_CODING,XM_029284079.1,XP_029139912.1
107287215,ASB2,ankyrin repeat and SOCS box containing 2,PROTEIN_CODING,XM_015815698.2,XP_015671184.1
107287217,DDX24,DEAD-box helicase 24,PROTEIN_CODING,XM_015815700.1,XP_015671186.1
107287223,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",PROTEIN_CODING,XM_015815709.1,XP_015671195.1
107287223,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",PROTEIN_CODING,XM_015815710.1,XP_015671196.1
107287233,LPAR2,lysophosphatidic acid receptor 2,PROTEIN_CODING,XM_015815721.1,XP_015671207.1
107287235,SLC27A1,solute carrier family 27 member 1,PROTEIN_CODING,XM_015815723.1,XP_015671209.1
107287250,BLCAP,BLCAP apoptosis inducing factor,PROTEIN_CODING,XM_015815739.1,XP_015671225.1
107287250,BLCAP,BLCAP apoptosis inducing factor,PROTEIN_CODING,XM_015815740.1,XP_015671226.1
107287260,SYS1,SYS1 golgi trafficking protein,PROTEIN_CODING,XM_015815750.1,XP_015671236.1
107287260,SYS1,SYS1 golgi trafficking protein,PROTEIN_CODING,XM_015815751.1,XP_015671237.1
107287261,MANBAL,mannosidase beta like,PROTEIN_CODING,XM_015815752.1,XP_015671238.1
107287320,ABLIM1,actin binding LIM protein 1,PROTEIN_CODING,XM_015815819.1,XP_015671305.1
107287323,LOC107287323,NHL repeat-containing protein 2,PROTEIN_CODING,XM_015815822.1,XP_015671308.1
107287326,GFRA1,GDNF family receptor alpha 1,PROTEIN_CODING,XM_015815824.2,XP_015671310.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815829.1,XP_015671315.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815831.1,XP_015671317.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815832.1,XP_015671318.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815834.1,XP_015671320.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815835.1,XP_015671321.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815830.1,XP_015671316.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815836.1,XP_015671322.1
107287331,TPM2,tropomyosin 2,PROTEIN_CODING,XM_015815833.1,XP_015671319.1
107287346,POC1A,POC1 centriolar protein A,PROTEIN_CODING,XM_015815849.1,XP_015671335.1
107287351,SMIM4,small integral membrane protein 4,PROTEIN_CODING,XM_015815854.1,XP_015671340.1
107287351,SMIM4,small integral membrane protein 4,PROTEIN_CODING,XM_015815855.1,XP_015671341.1
107287352,GNL3,G protein nucleolar 3,PROTEIN_CODING,XM_015815856.1,XP_015671342.1
107287352,GNL3,G protein nucleolar 3,PROTEIN_CODING,XM_015815857.1,XP_015671343.1
107287358,LOC107287358,serine/threonine-protein kinase Nek4,PROTEIN_CODING,XM_015815862.1,XP_015671348.1
107287377,CCDC80,coiled-coil domain containing 80,PROTEIN_CODING,XM_015815887.1,XP_015671373.1
107287378,CIAPIN1,cytokine induced apoptosis inhibitor 1,PROTEIN_CODING,XM_015815885.1,XP_015671371.1
107287378,CIAPIN1,cytokine induced apoptosis inhibitor 1,PROTEIN_CODING,XM_015815884.1,XP_015671370.1
107287382,ALCAM,activated leukocyte cell adhesion molecule,PROTEIN_CODING,XM_015815891.1,XP_015671377.1
