gene,description,colors
107285347,odd-skipped related transciption factor 2,blue
107285348,N-acetylgalactosaminidase alpha-,darkturquoise
107285349,WBP2 N-terminal like,grey60
107285350,centromere protein M,purple
107285351,coiled-coil domain containing 134,salmon
107285352,SNU13 homolog small nuclear ribonucleoprotein (U4/U6.U5),brown
107285353,family with sequence similarity 109 member B,blue
107285354,shisa family member 8,pink
107285355,protocadherin 18,midnightblue
107285356,solute carrier family 7 member 11,turquoise
107285357,galanin receptor 1,turquoise
107285358,myelin basic protein,turquoise
107285359,zinc finger protein 236,brown
107285360,uncharacterized LOC107285360,turquoise
107285361,hydroxyacid oxidase (glycolate oxidase) 1,blue
107285362,lysosomal associated membrane protein family member 5,pink
107285363,thioredoxin related transmembrane protein 4,black
107285365,phospholipase C beta 1,red
107285366,phospholipase C beta 4,turquoise
107285367,p21 protein (Cdc42/Rac)-activated kinase 7,turquoise
107285368,bone morphogenetic protein 2,black
107285369,cystic fibrosis transmembrane conductance regulator,blue
107285370,cortactin binding protein 2,blue
107285371,MET proto-oncogene receptor tyrosine kinase,blue
107285372,capping actin protein of muscle Z-line alpha subunit 2,red
107285373,suppression of tumorigenicity 7,purple
107285374,ankyrin repeat SAM and basic leucine zipper domain containing 1,turquoise
107285375,reactive intermediate imine deaminase A homolog,turquoise
107285376,ankyrin repeat domain-containing protein 26-like,red
107285377,LSM8 homolog U6 small nuclear RNA associated,grey60
107285378,out at first homolog,blue
107285379,membrane frizzled-related protein,greenyellow
107285380,PDZ domain containing 3,blue
107285381,NLR family member X1,blue
107285382,nectin cell adhesion molecule 1,blue
107285383,melanoma cell adhesion molecule,blue
107285384,coiled-coil domain containing 153,green
107285385,tripartite motif containing 29,magenta
107285386,uncharacterized LOC107285386,pink
107285387,Thy-1 cell surface antigen,midnightblue
107285388,ubiquitin specific peptidase 2,yellow
107285389,C1q and tumor necrosis factor related protein 5,black
107285390,ring finger protein 26,yellow
107285391,Cbl proto-oncogene E3 ubiquitin protein ligase,yellow
107285392,Meis homeobox 2,magenta
107285393,chromosome unknown open reading frame human C15orf41,darkred
107285394,diphthamine biosynthesis 6,turquoise
107285395,aquarius intron-binding spliceosomal factor,yellow
107285396,lysosomal protein transmembrane 4 beta,black
107285397,uncharacterized LOC107285397,black
107285398,dedicator of cytokinesis protein 2-like,white
107285399,lymphocyte cytosolic protein 2,darkturquoise
107285400,forkhead box I1,turquoise
107285401,putative calcium-activated potassium channel subunit beta,darkred
107285402,GRB2-related adaptor protein 2,darkturquoise
107285403,family with sequence similarity 83 member F,brown
107285404,trinucleotide repeat containing 6B,turquoise
107285405,uncharacterized LOC107285405,purple
107285406,adenylosuccinate lyase,purple
107285407,nicotinamide phosphoribosyltransferase,darkgreen
107285408,small G protein signaling modulator 3,turquoise
107285409,megakaryoblastic leukemia (translocation) 1,turquoise
107285410,solute carrier family 25 member 17,turquoise
107285411,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein),salmon
107285412,X-prolyl aminopeptidase 3 mitochondrial,turquoise
107285413,ring-box 1 E3 ubiquitin protein ligase,lightgreen
107285414,E1A binding protein p300,yellow
107285415,l(3)mbt-like 2 (Drosophila),turquoise
107285416,synaptophysin-like 1,pink
107285417,Ran GTPase activating protein 1,brown
107285418,zinc finger CCCH-type containing 7B,yellow
107285419,transducer of ERBB2 2,blue
107285420,PHD finger protein 5A,grey60
107285421,aconitase 2,red
107285422,cold shock domain containing C2,black
107285423,X-ray repair complementing defective repair in Chinese hamster cells 6,darkred
107285424,desumoylating isopeptidase 1,brown
107285425,thyrotrophic embryonic factor,cyan
107285426,phosphomannomutase 1,turquoise
107285427,cadherin related family member 3,pink
107285428,growth associated protein 43,midnightblue
107285429,cadherin-related 23,magenta
107285430,chromosome unknown open reading frame human C10orf54,darkturquoise
107285431,prosaposin,blue
107285432,core histone macro-H2A.2,purple
107285433,apoptosis inducing factor mitochondria associated 2,purple
107285434,Werner helicase interacting protein 1,turquoise
107285436,adhesion G protein-coupled receptor L4,turquoise
107285437,coiled-coil domain containing 62,darkgreen
107285438,RAD50 interactor 1,turquoise
107285439,ATP binding cassette subfamily B member 9,red
107285440,phosphatidylinositol transfer protein membrane associated 2,darkgrey
107285441,lysine methyltransferase 5A,brown
107285443,polymerase (DNA) epsilon catalytic subunit,yellow
107285444,dynein axonemal heavy chain 10,green
107285445,phospholipase A2 group III,brown
107285446,inositol polyphosphate-5-phosphatase J,brown
107285447,zinc finger protein 300-like,yellow
107285448,SRSF protein kinase 2,black
107285449,oxysterol binding protein 2,turquoise
107285450,transcobalamin 2,yellow
107285451,anaphase promoting complex subunit 7,yellow
107285452,huntingtin interacting protein 1 related,yellow
107285453,2-oxoglutarate and iron-dependent oxygenase domain containing 2,turquoise
107285454,ADP ribosylation factor like GTPase 6 interacting protein 4,brown
107285455,strawberry notch homolog 1 (Drosophila),salmon
107285456,ATPase H+ transporting V0 subunit a2,turquoise
107285457,tectonic family member 2,green
107285458,general transcription factor IIH subunit 3,lightgreen
107285459,EF-hand calcium-binding domain-containing protein 10-like,green
107285460,DEAD-box helicase 55,yellow
107285461,eukaryotic translation initiation factor 2B subunit alpha,turquoise
107285462,transmembrane p24 trafficking protein 2,turquoise
107285463,selenoprotein M,turquoise
107285464,MORC family CW-type zinc finger 2,blue
107285465,pescadillo ribosomal biogenesis factor 1,darkgrey
107285466,actin related protein 2/3 complex subunit 3,orange
107285467,GPN-loop GTPase 3,purple
107285468,density-regulated protein,lightgreen
107285469,vacuolar protein sorting 37 homolog B (S. cerevisiae),blue
107285470,pseudouridylate synthase 7 (putative),tan
107285471,M-phase phosphoprotein 9,blue
107285472,chromosome unknown open reading frame human C12orf65,orange
107285473,cyclin-dependent kinase 2 associated protein 1,black
107285474,Rab interacting lysosomal protein-like 2,royalblue
107285475,ISG15 ubiquitin-like modifier,darkgreen
107285476,coiled-coil domain containing 92,blue
107285477,Rab interacting lysosomal protein-like 1,brown
107285478,small nuclear ribonucleoprotein U11/U12 35kDa subunit,brown
107285479,2'-5'-oligoadenylate synthase 1-like,darkgreen
107285480,ataxin 7 like 1,black
107285482,dual specificity phosphatase 18,pink
107285483,synergin gamma-like,magenta
107285484,solute carrier family 35 member E4,blue
107285485,galactose-3-O-sulfotransferase 1,black
107285487,G protein-coupled receptor 75,blue
107285488,proteasome activator subunit 4,red
107285489,echinoderm microtubule-associated protein-like 6,green
107285490,histone H3.3-like,turquoise
107285491,ras-related C3 botulinum toxin substrate 1 (rho family small GTP binding protein Rac1),grey60
107285492,neurexin 1,red
107285493,ankyrin repeat and SOCS box containing 3,pink
107285494,ChaC cation transport regulator homolog 2 (E. coli),turquoise
107285495,endoplasmic reticulum lectin 1,turquoise
107285496,toll-like receptor 2,darkred
107285497,acylphosphatase 2,red
107285498,spectrin beta non-erythrocytic 1,blue
107285500,MARCKS-like 1,blue
107285501,histone deacetylase 1,turquoise
107285503,protein tyrosine phosphatase type IVA member 2,brown
107285504,KDEL endoplasmic reticulum protein retention receptor 2,turquoise
107285505,KH domain containing RNA binding signal transduction associated 1,orange
107285506,LCK proto-oncogene Src family tyrosine kinase,royalblue
107285507,transmembrane protein 39B,purple
107285508,family with sequence similarity 167 member B,turquoise
107285509,myotubularin-related protein 9-like,royalblue
107285511,diacylglycerol kinase delta,yellow
107285512,inositol polyphosphate-5-phosphatase D,white
107285513,diacylglycerol lipase beta,yellow
107285514,selenocysteine lyase,magenta
107285516,S-antigen; retina and pineal gland (arrestin),black
107285517,autophagy related 16 like 1,blue
107285518,neuronal guanine nucleotide exchange factor,blue
107285519,GRB10 interacting GYF protein 2,turquoise
107285520,potassium voltage-gated channel subfamily J member 13,tan
107285521,EF-hand domain family member D1,darkred
107285522,uncharacterized LOC107285522,red
107285523,interferon induced with helicase C domain 1,darkgreen
107285524,kelch like family member 30,red
107285525,ILK associated serine/threonine phosphatase,turquoise
107285526,alanine-glyoxylate aminotransferase,brown
107285527,armadillo repeat containing 8,turquoise
107285528,protein IWS1 homolog,red
107285529,vitamin K-dependent protein C-like,magenta
107285530,chromosome unknown open reading frame human C2orf82,darkred
107285532,GDP-mannose 46-dehydratase,brown
107285533,dipeptidyl peptidase 4-like,turquoise
107285537,sortilin-related receptor-like,blue
107285540,Rho guanine nucleotide exchange factor 12,turquoise
107285541,transmembrane protein 136-like,yellow
107285542,transmembrane protein 136-like,turquoise
107285543,sterol-C5-desaturase,brown
107285544,fibroblast activation protein alpha,black
107285545,tubulin folding cofactor E-like,green
107285546,potassium sodium-activated channel subfamily T member 2,blue
107285547,RNA-directed DNA polymerase homolog,turquoise
107285548,protein Wnt-7a,midnightblue
107285549,F-box and WD repeat domain containing 12,pink
107285550,protein tyrosine phosphatase domain containing 1,black
107285551,BARX homeobox 1,green
107285552,glucagon,red
107285553,cytochrome P450 2K1-like,blue
107285555,cytochrome P450 2K1-like,pink
107285556,cytochrome P450 2K1-like,magenta
107285557,polycystic kidney and hepatic disease 1 (autosomal recessive),red
107285558,cytochrome P450 2K4-like,greenyellow
107285559,Rh-associated glycoprotein,darkred
107285560,translocation associated membrane protein 2,turquoise
107285561,EF-hand domain (C-terminal) containing 1,green
107285562,progestin and adipoQ receptor family member VIII,magenta
107285563,asparagine--tRNA ligase cytoplasmic-like,turquoise
107285564,minichromosome maintenance complex component 3,magenta
107285565,chromosome unknown open reading frame human C8orf74,cyan
107285566,methionine sulfoxide reductase A,purple
107285567,SRY-box 7,magenta
107285568,PIN2/TERF1 interacting telomerase inhibitor 1,grey60
107285570,chromodomain helicase DNA binding protein 6,tan
107285571,TBC/LysM-associated domain containing 2,red
107285572,myosin heavy chain 7B cardiac muscle beta,greenyellow
107285573,alpha-1-syntrophin-like,red
107285574,neural precursor cell expressed developmentally down-regulated 4-like E3 ubiquitin protein ligase,darkred
107285575,alpha-1-syntrophin-like,red
107285576,Ral GTPase activating protein non-catalytic beta subunit,yellow
107285577,retinoblastoma-like 1,magenta
107285578,SAM domain and HD domain 1,yellow
107285579,acyl-CoA synthetase short-chain family member 2,yellow
107285580,glutathione synthetase,brown
107285581,transient receptor potential cation channel subfamily C member 4 associated protein,red
107285582,ER degradation enhancer mannosidase alpha-like 2,turquoise
107285583,TOX high mobility group box family member 2,blue
107285584,suppressor of glucose autophagy associated 1,blue
107285585,chromosome unknown open reading frame human C10orf76,blue
107285586,prominin-1-A-like,green
107285587,LIM domain binding 1,turquoise
107285588,peroxisome proliferator-activated receptor gamma coactivator-related 1,brown
107285589,ligand dependent nuclear receptor corepressor,yellow
107285590,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3,blue
107285591,ATPase phospholipid transporting 8B1,turquoise
107285592,slit guidance ligand 1,midnightblue
107285593,lipase I,green
107285594,RNA binding motif protein 11,turquoise
107285595,heat shock protein family A (Hsp70) member 13,turquoise
107285596,SAM domain SH3 domain and nuclear localization signals 1,darkturquoise
107285597,nuclear receptor interacting protein 1,turquoise
107285598,dual specificity tyrosine phosphorylation regulated kinase 1A,yellow
107285599,potassium voltage-gated channel subfamily J member 15,greenyellow
107285600,v-ets avian erythroblastosis virus E26 oncogene homolog,darkred
107285601,ETS proto-oncogene 2 transcription factor,purple
107285602,HBS1 like translational GTPase,magenta
107285603,bromodomain and WD repeat domain containing 1,turquoise
107285604,high mobility group nucleosome binding domain 1,lightgreen
107285606,tryptophan rich basic protein,lightgreen
107285607,general transcription factor IIE subunit 2,purple
107285608,coronin 2A,blue
107285609,uncharacterized LOC107285609,purple
107285610,TBC1 domain family member 2,turquoise
107285611,inhibitor of kappa light polypeptide gene enhancer in B-cells kinase complex-associated protein,yellow
107285612,aprataxin,turquoise
107285613,DnaJ heat shock protein family (Hsp40) member A1,grey60
107285614,smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans),yellow
107285615,UDP-Gal:betaGlcNAc beta 14- galactosyltransferase polypeptide 1,salmon
107285616,glutathione reductase,black
107285617,MYB proto-oncogene transcription factor,green
107285618,protein phosphatase 2 catalytic subunit beta,brown
107285619,purine-rich element binding protein G,turquoise
107285620,Werner syndrome RecQ like helicase,yellow
107285621,actin like 7A,turquoise
107285622,cystatin-F-like,darkturquoise
107285623,small integral membrane protein 18,magenta
107285624,RE1-silencing transcription factor-like,turquoise
107285625,uncharacterized LOC107285625,pink
107285626,exoribonuclease 1,purple
107285627,Abelson helper integration site 1,pink
107285628,protein phosphatase 1 regulatory subunit 3B,salmon
107285629,tankyrase,blue
107285630,dual specificity phosphatase 4,blue
107285631,theg spermatid protein-like,pink
107285632,ADP ribosylation factor like GTPase 9,darkgreen
107285633,signal recognition particle 72kDa,turquoise
107285634,leptin receptor overlapping transcript-like 1,blue
107285635,store-operated calcium entry-associated regulatory factor,turquoise
107285636,phosphodiesterase 7B,brown
107285637,leucine-rich repeat-containing protein 14B-like,red
107285638,serine peptidase inhibitor Kazal type 2,pink
107285639,HOP homeobox,blue
107285641,CD3e molecule associated protein,brown
107285642,excision repair cross-complementation group 1,brown
107285643,CLOCK-interacting pacemaker,blue
107285644,cytochrome P450 2F5-like,red
107285645,egl-9 family hypoxia-inducible factor 2,brown
107285646,rho-related GTP-binding protein RhoU-like,turquoise
107285647,inositol-trisphosphate 3-kinase C,brown
107285650,cyclin N-terminal domain containing 2,black
107285654,aldehyde dehydrogenase 8 family member A1,pink
107285655,potassium two pore domain channel subfamily K member 6,yellow
107285656,protein YIF1B-like,turquoise
107285657,zinc finger CCCH-type containing 4,blue
107285658,DEAH-box helicase 34,brown
107285659,cytochrome P450 2G1-like,red
107285660,cytochrome P450 2A6-like,yellow
107285661,cytochrome P450 2F3-like,turquoise
107285665,cytochrome P450 2A13-like,yellow
107285666,biliverdin reductase B,yellow
107285667,latent transforming growth factor beta binding protein 4,yellow
107285668,SH3KBP1 binding protein 1,turquoise
107285669,serine peptidase inhibitor Kunitz type 2,yellow
107285670,protein phosphatase 1 regulatory inhibitor subunit 14A,brown
107285671,RAB4B member RAS oncogene family,brown
107285672,small nuclear ribonucleoprotein polypeptide A,turquoise
107285673,DEAD-box helicase 23,yellow
107285674,chromosome unknown open reading frame human C19orf54,orange
107285675,aarF domain containing kinase 4,brown
107285676,signal-induced proliferation-associated 1 like 3,pink
107285678,v-akt murine thymoma viral oncogene homolog 2,brown
107285679,chromosome unknown open reading frame human C19orf47,yellow
107285680,phospholipase D family member 3,turquoise
107285681,SERTA domain containing 1,brown
107285682,coiled-coil domain containing 65,green
107285683,SUMO1 activating enzyme subunit 1,grey60
107285684,coiled-coil domain containing 9,purple
107285685,complement component 5a receptor 1,darkturquoise
107285686,intercellular adhesion molecule 5,brown
107285687,intercellular adhesion molecule 5-like,blue
107285688,intercellular adhesion molecule 1-like,magenta
107285689,uncharacterized LOC107285689,black
107285690,cell division cycle 37,purple
107285691,tyrosine kinase 2,turquoise
107285692,ribonucleoprotein PTB-binding 1,turquoise
107285693,FK506 binding protein 11,brown
107285694,ferredoxin 1-like,grey60
107285695,intercellular adhesion molecule 3-like,magenta
107285696,mitochondrial ribosomal protein L4,green
107285697,protein ZBED8-like,tan
107285698,exocyst complex component 2,blue
107285699,phosphatidylinositol-45-bisphosphate 3-kinase catalytic subunit alpha,turquoise
107285700,zinc finger protein 639,yellow
107285701,mitofusin 1,darkgrey
107285703,zinc finger matrin-type 3,turquoise
107285704,aspartylglucosaminidase,pink
107285705,nei like DNA glycosylase 3,cyan
107285706,vascular endothelial growth factor C,turquoise
107285707,signal peptidase complex subunit 3,turquoise
107285708,ankyrin repeat and SOCS box containing 5,red
107285709,spermatogenesis associated 4,green
107285710,adenylate cyclase type 6-like,yellow
107285711,WD repeat domain 17,green
107285712,glycoprotein M6A,tan
107285713,uncharacterized protein K02A2.6-like,magenta
107285714,cAMP-specific 3'5'-cyclic phosphodiesterase 4A-like,salmon
107285715,kelch like ECH associated protein 1,black
107285716,SPC24 NDC80 kinetochore complex component,cyan
107285717,uncharacterized LOC107285717,yellow
107285718,coiled-coil domain containing 130,turquoise
107285719,calcium voltage-gated channel auxiliary subunit beta 3,blue
107285720,chromosome unknown open reading frame human C19orf53,pink
107285721,solute carrier family 44 member 2,tan
107285723,zinc finger SWIM-type containing 4,yellow
107285724,nuclear factor interleukin-3-regulated protein-like,purple
107285725,surfeit locus protein 4-like,salmon
107285726,uncharacterized LOC107285726,green
107285727,RIO kinase 2,blue
107285728,Rho family GTPase 1,black
107285729,2'-5'-oligoadenylate synthase 1A-like,green
107285730,limb and CNS expressed 1,midnightblue
107285731,adhesion G protein-coupled receptor A1,tan
107285732,PWWP domain containing 2B,turquoise
107285733,leucine rich repeat containing 27,green
107285734,G-protein coupled receptor 124-like,pink
107285735,cilia and flagella associated protein 46,green
107285738,CDK5 regulatory subunit associated protein 2,black
107285739,protein disulfide isomerase family A member 5,turquoise
107285740,toll like receptor 4,royalblue
107285741,CDK5 regulatory subunit-associated protein 2-like,tan
107285742,BMP/retinoic acid inducible neural specific 1,black
107285743,receptor interacting serine/threonine kinase 2,turquoise
107285744,Y+L amino acid transporter 2-like,red
107285745,oxidative stress induced growth inhibitor family member 2,darkturquoise
107285746,24-dienoyl-CoA reductase 1 mitochondrial,turquoise
107285747,calbindin 1,turquoise
107285748,adenylate cyclase type 5-like,red
107285749,transmembrane protein 64,black
107285750,OTU domain containing 6B,grey60
107285751,solute carrier family 26 member 7,turquoise
107285752,runt related transcription factor 1; translocated to 1 (cyclin D related),blue
107285753,nibrin,purple
107285754,transmembrane protein 55A,darkred
107285755,leucine rich repeat containing 69,magenta
107285756,N-terminal EF-hand calcium binding protein 1,green
107285757,chromosome unknown open reading frame human C8orf88,tan
107285758,non-SMC condensin I complex subunit D2,white
107285759,SEC22 homolog A vesicle trafficking protein,turquoise
107285760,glyceraldehyde-3-phosphate dehydrogenase,red
107285761,intermediate filament family orphan 1,pink
107285762,NOP2 nucleolar protein,darkgrey
107285763,chromodomain helicase DNA binding protein 4,yellow
107285764,lysophosphatidic acid receptor 5,blue
107285765,inhibitor of growth family member 4,darkred
107285766,dedicator of cytokinesis protein 4-like,pink
107285767,zinc finger protein 384,yellow
107285768,COP9 signalosome subunit 7A,turquoise
107285769,myeloid leukemia factor 2,blue
107285770,parathymosin,grey60
107285771,G protein-coupled receptor 162,turquoise
107285772,prolyl 3-hydroxylase 3,midnightblue
107285773,ubiquitin specific peptidase 5 (isopeptidase T),yellow
107285774,inner mitochondrial membrane peptidase subunit 2,pink
107285775,triosephosphate isomerase 1,red
107285776,atrophin 1,yellow
107285777,protein tyrosine phosphatase non-receptor type 6,darkturquoise
107285778,prohibitin 2,salmon
107285779,lysophosphatidylcholine acyltransferase 3,brown
107285780,complement component 1 s subcomponent,darkturquoise
107285781,complement component 1 r subcomponent,green
107285782,calsyntenin 3,black
107285783,solute carrier family 25 member 36-A-like,blue
107285784,dedicator of cytokinesis 4,green
107285785,peroxisomal targeting signal 1 receptor-like,turquoise
107285786,mannosidase alpha class 1A member 2,turquoise
107285787,hydroxyacid oxidase 2 (long chain),black
107285788,T-box 15,red
107285789,WD repeat domain 3,darkgrey
107285790,ganglioside induced differentiation associated protein 2,cyan
107285791,dual specificity phosphatase 12,brown
107285792,receptor interacting serine/threonine kinase 1,yellow
107285795,dedicator of cytokinesis protein 4-like,green
107285796,vesicle associated membrane protein 1,black
107285797,acrosin binding protein,black
107285799,lymphocyte activating 3,cyan
107285801,peroxisomal targeting signal 1 receptor-like,yellow
107285802,calcium sensing receptor,greenyellow
107285804,sperm associated antigen 17,green
107285805,olfactory receptor 2A5-like,turquoise
107285806,SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily b member 1,yellow
107285807,sodium channel epithelial 1 alpha subunit,blue
107285808,mitochondrial ribosomal protein L51,brown
107285809,cell division cycle associated 3,cyan
107285811,leucine rich repeat containing 23,green
107285812,enolase 2 (gamma neuronal),midnightblue
107285813,chromosome unknown open reading frame human C12orf57,pink
107285814,EMG1 N1-specific pseudouridine methyltransferase,brown
107285815,retinol binding protein 5,darkred
107285816,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase-like,turquoise
107285817,tryptophanyl tRNA synthetase 2 mitochondrial,brown
107285818,family with sequence similarity 46 member C,blue
107285819,GRAM domain containing 3,red
107285820,zinc finger protein 608,blue
107285821,cyclin D1,turquoise
107285822,oral cancer overexpressed 1,salmon
107285825,RAB11 family interacting protein 2 (class I),pink
107285826,uncharacterized protein C11orf24-like,salmon
107285827,LDL receptor related protein 5,turquoise
107285828,protein phosphatase 6 regulatory subunit 3,yellow
107285829,apolipoprotein H,pink
107285830,exonuclease 3'-5' domain containing 2,turquoise
107285831,DDB1 and CUL4 associated factor 5,yellow
107285832,actinin alpha 1,black
107285833,serine/arginine-rich splicing factor 5-like,purple
107285834,ZFP36 ring finger protein-like 1,magenta
107285835,RAD51 paralog B,blue
107285836,centrosomal protein of 112 kDa-like,green
107285837,transmembrane protein 229B,turquoise
107285838,phosphatidylinositol glycan anchor biosynthesis class H,turquoise
107285839,arginase 2,turquoise
107285840,vesicle transport through interaction with t-SNAREs 1B,turquoise
107285841,retinol dehydrogenase 12-like,turquoise
107285842,pleckstrin 2,blue
107285843,eukaryotic translation initiation factor 2 subunit alpha,grey60
107285844,ATPase H+ transporting V1 subunit D,brown
107285845,protein kinase C alpha type,darkred
107285846,membrane protein palmitoylated 5,green
107285847,gephyrin,darkred
107285848,zinc finger FYVE-type containing 26,tan
107285849,uncharacterized LOC107285849,brown
107285850,galectin-related protein A-like,brown
107285851,dedicator of cytokinesis 2,royalblue
107285852,spindle apparatus coiled-coil protein 1,cyan
107285853,family with sequence similarity 196 member B,green
107285854,speckle type BTB/POZ protein like,blue
107285855,dedicator of cytokinesis protein 3-like,magenta
107285856,histamine N-methyltransferase,turquoise
107285857,neurexophilin 2,turquoise
107285858,transcription factor 15-like,red
107285859,CCR4-NOT transcription complex subunit 6,yellow
107285860,ADAM metallopeptidase with thrombospondin type 1 motif 2,blue
107285861,ubiquitin specific peptidase 25,red
107285862,uncharacterized LOC107285862,turquoise
107285863,MAP kinase-activated protein kinase 3-like,blue
107285864,uncharacterized LOC107285864,turquoise
107285865,uncharacterized LOC107285865,black
107285866,coxsackie virus and adenovirus receptor,turquoise
107285867,chromosome unknown open reading frame human C21orf91,darkred
107285868,chondrolectin,black
107285869,transmembrane protease serine 15,greenyellow
107285870,TBCC domain containing 1,blue
107285871,DnaJ heat shock protein family (Hsp40) member B11,turquoise
107285872,kinectin-like,green
107285873,protein C receptor,brown
107285874,phosphofructokinase liver type,yellow
107285875,chromosome unknown open reading frame human C21orf2,green
107285876,ubiquitin conjugating enzyme E2G 2,brown
107285877,small ubiquitin-like modifier 3,darkred
107285878,pituitary tumor-transforming 1 interacting protein,darkred
107285879,diacylglycerol kinase gamma,blue
107285880,ETS variant 5,yellow
107285881,transformer 2 beta homolog (Drosophila),grey60
107285882,tumor protein D52-like 1,turquoise
107285883,insulin like growth factor 2 mRNA binding protein 2,blue
107285884,SUMO1/sentrin/SMT3 specific peptidase 2,turquoise
107285885,tubulin beta 2A class IIa,midnightblue
107285886,transmembrane protein 41A,turquoise
107285887,enoyl-CoA hydratase/3-hydroxyacyl CoA dehydrogenase,turquoise
107285888,VPS8 CORVET complex subunit,yellow
107285889,propionyl-CoA carboxylase beta subunit,turquoise
107285890,solute carrier family 35 member G2,purple
107285891,DAZ interacting zinc finger protein 1 like,cyan
107285892,thrombospondin-type laminin G domain and EAR repeats,midnightblue
107285893,mitogen-activated protein kinase kinase kinase 13,turquoise
107285894,chromosome unknown open reading frame human C3orf70,darkred
107285895,thioredoxin domain-containing protein 6-like,pink
107285896,cohesin subunit SA-1-like,salmon
107285897,alpha-14-N-acetylglucosaminyltransferase,turquoise
107285898,HD domain containing 2,orange
107285901,crystallin gamma S,blue
107285902,transient receptor potential cation channel subfamily M member 2,greenyellow
107285903,leucine rich repeat containing 3,brown
107285904,sodium- and chloride-dependent betaine transporter-like,red
107285905,lysine demethylase 5A,brown
107285906,coiled-coil domain containing 77,green
107285907,WNK lysine deficient protein kinase 1,black
107285908,ELKS/RAB6-interacting/CAST family member 1,brown
107285909,vomeronasal type-2 receptor 26-like,greenyellow
107285910,beta-14-N-acetyl-galactosaminyltransferase 3,brown
107285911,ninjurin 2,magenta
107285913,RAD52 homolog DNA repair protein,cyan
107285914,vacuolar protein sorting 25 homolog (S. cerevisiae),lightcyan
107285915,beclin 1 autophagy related,lightcyan
107285916,proteasome activator subunit 3,orange
107285917,vomeronasal type-2 receptor 26-like,magenta
107285918,membrane primary amine oxidase-like,darkorange
107285919,membrane primary amine oxidase-like,darkred
107285920,glucose-6-phosphatase-like,lightcyan
107285921,alanyl-tRNA editing protein Aarsd1-like,lightcyan
107285922,RUN domain containing 1,lightcyan
107285923,ribosomal protein L27,saddlebrown
107285924,vesicle amine transport 1,black
107285925,breast cancer 1,green
107285927,neighbor of BRCA1 gene 1,lightcyan
107285928,transmembrane protein 106A,darkorange
107285929,ADP ribosylation factor like GTPase 4D,darkorange
107285930,cyclin N-terminal domain containing 1,lightcyan
107285931,vomeronasal type-2 receptor 26-like,greenyellow
107285933,Rho family GTPase 2,black
107285934,WNK lysine deficient protein kinase 4,blue
107285935,glucose-6-phosphatase-like,pink
107285936,interferon induced protein 35,green
107285937,Rho GTPase activating protein 15,darkturquoise
107285938,glycosyltransferase like domain containing 1,black
107285939,BUB3 mitotic checkpoint protein,purple
107285940,acyl-CoA dehydrogenase short/branched chain,turquoise
107285941,vomeronasal type-2 receptor 26-like,greenyellow
107285942,IKAROS family zinc finger 5,turquoise
107285943,phosphoseryl-tRNA kinase,turquoise
107285944,chromosome unknown open reading frame human C10orf88,purple
107285945,CUB and zona pellucida-like domain-containing protein 1,steelblue
107285946,carboxypeptidase X (M14 family) member 2,blue
107285947,disintegrin and metalloproteinase domain-containing protein 9-like,magenta
107285948,CUB and zona pellucida-like domain-containing protein 1,purple
107285949,deleted in malignant brain tumors 1 protein-like,steelblue
107285950,G protein-coupled receptor 26,darkred
107285954,odd-skipped related transciption factor 1,blue
107285955,FBJ murine osteosarcoma viral oncogene homolog,yellow
107285956,chromosome unknown open reading frame human C14orf1,turquoise
107285957,transforming growth factor beta 3,midnightblue
107285958,G-patch domain containing 2 like,cyan
107285959,tubulin tyrosine ligase like 5,green
107285960,vomeronasal type-2 receptor 26-like,greenyellow
107285961,intraflagellar transport 43,green
107285963,Jun dimerization protein 2,tan
107285964,basic leucine zipper ATF-like transcription factor,white
107285965,feline leukemia virus subgroup C cellular receptor family member 2,blue
107285966,estrogen related receptor beta,greenyellow
107285967,vasohibin 1,black
107285968,angel homolog 1 (Drosophila),turquoise
107285970,biliverdin reductase A,salmon
107285971,fidgetin like 1,lightcyan
107285972,serine/threonine kinase 17a,darkorange
107285973,HECT C2 and WW domain containing E3 ubiquitin protein ligase 1,blue
107285974,piezo type mechanosensitive ion channel component 2,magenta
107285975,NSF attachment protein gamma,brown
107285976,biphenyl hydrolase-like (serine hydrolase),blue
107285977,adenomatosis polyposis coli down-regulated 1,black
107285978,VAMP associated protein A,purple
107285979,G-patch domain and ankyrin repeats 1,yellow
107285980,protein phosphatase 4 regulatory subunit 1,yellow
107285981,ralA binding protein 1,brown
107285982,twisted gastrulation BMP signaling modulator 1,black
107285983,ankyrin repeat domain 12,brown
107285984,NADH:ubiquinone oxidoreductase core subunit V2,red
107285985,RAB12 member RAS oncogene family,red
107285986,microtubule crosslinking factor 1,magenta
107285987,protein tyrosine phosphatase receptor type M,purple
107285988,laminin subunit alpha 1,black
107285989,Rho GTPase activating protein 28,midnightblue
107285990,RAB31 member RAS oncogene family,blue
107285991,leucine rich repeat containing 30,red
107285992,follistatin like 4,magenta
107285993,rap guanine nucleotide exchange factor 6-like,blue
107285994,rap guanine nucleotide exchange factor 6-like,blue
