Table 1
ID,Toxin Class,FPKM,% FPKM,Peptides,Transcript Length,Peptide Coverage,Peptide Coverage %,NCBI Link,BLAST hit
comp5100_c0_seq1,,5.5,,4,26,,,,NA
comp5293_c0_seq1,,4.9,,4,197,,,,"gi|149031434|gb|EDL86424.1| similar to Lmbr1 protein (predicted), isoform CRA_a [Rattus norvegicus]"
comp53152_c0_seq1,,1.6,,4,13,,,,NA
comp53500_c0_seq1,,1.5,,6,39,,,,NA
comp5386_c0_seq1,,2.3,,19,397,,,,gi|118085244|ref|XP_424045.2| PREDICTED: hypothetical protein [Gallus gallus]
comp554_c0_seq1,,14.2,,7,30,,,,NA
comp5697_c0_seq2,,2.2,,18,380,,,,gi|327275566|ref|XP_003222544.1| PREDICTED: interferon-induced 35 kDa protein-like [Anolis carolinensis]
comp5982_c0_seq1,,5.7,,5,14,,,,NA
comp6150_c0_seq1,,2,,13,56,,,,NA
comp6247_c0_seq1,,4.7,,9,49,,,,NA
comp6432_c0_seq1,,2.8,,5,36,,,,NA
comp67_c0_seq1,,20,,5,181,,,,NA
comp698_c0_seq1,,16.4,,10,179,,,,NA
comp7082_c0_seq1,,3.2,,8,60,,,,NA
comp7108_c0_seq1,,4.2,,6,74,,,,NA
comp7186_c0_seq1,,4.6,,7,502,,,,gi|327279482|ref|XP_003224485.1| PREDICTED: probable helicase with zinc finger domain-like [Anolis carolinensis]
comp7273_c0_seq1,,4.1,,4,26,,,,NA
comp7414_c0_seq1,,3.8,,5,18,,,,NA
comp7546_c0_seq1,,2.9,,23,832,,,,gi|327267720|ref|XP_003218647.1| PREDICTED: disintegrin and metalloproteinase domain-containing protein 9-like [Anolis carolinensis]
comp7546_c0_seq2,,2.3,,16,579,,,,gi|327267720|ref|XP_003218647.1| PREDICTED: disintegrin and metalloproteinase domain-containing protein 9-like [Anolis carolinensis]
comp7860_c0_seq1,,5.1,,4,19,,,,NA
comp7915_c0_seq1,,5.5,,12,71,,,,NA
comp8012_c1_seq1,,2.5,,4,26,,,,NA
comp8095_c0_seq1,,3.3,,10,277,,,,gi|327262355|ref|XP_003215990.1| PREDICTED: DNA polymerase eta-like [Anolis carolinensis]
comp8211_c0_seq1,,2.3,,7,91,,,,NA
comp8332_c0_seq1,,3.5,,10,340,,,,gi|327281071|ref|XP_003225273.1| PREDICTED: hypothetical protein LOC100561709 [Anolis carolinensis]
comp8368_c0_seq1,,4.2,,22,93,,,,NA
comp8453_c0_seq1,,2.9,,11,391,,,,gi|327275353|ref|XP_003222438.1| PREDICTED: transmembrane protease serine 11E-like [Anolis carolinensis]
comp8662_c0_seq1,,2.1,,5,34,,,,NA
comp8677_c0_seq1,,3.5,,5,25,,,,NA
comp8814_c0_seq1,,3.5,,7,34,,,,NA
comp8937_c0_seq1,,2.5,,8,42,,,,NA
comp894_c0_seq2,,15.9,,4,23,,,,NA
comp9124_c0_seq1,,3.4,,5,23,,,,NA
comp9282_c0_seq1,,3.3,,10,49,,,,NA
comp9355_c0_seq1,,1.9,,4,123,,,,NA
comp9728_c0_seq1,,3,,5,234,,,,gi|327262224|ref|XP_003215925.1| PREDICTED: LOW QUALITY PROTEIN: programmed cell death protein 2-like [Anolis carolinensis]
comp987_c0_seq1,,14.2,,6,29,,,,NA
